experiment_id,campaign_partition,target_sbox,target_sbox_index,key_id,session_id,fault_model,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance
19915,attack,S0,0,22,7,random_and_4,-3.5660834847308918,5.242555189584482,0.840927474923477,1,4.7578554831312,f5a4535f2db93b23,7afb5861915dae1a,True,7afb58619152a91a,False,7
19917,attack,S0,0,22,6,random_and_4,-0.2821773108877057,1.5700648714182994,0.867640641783778,1,3.009852783964956,b26216ad4ddd0d65,b3c0dc54c48b40f7,True,b3c0dc54c48b40f7,True,0
19919,attack,S0,0,23,5,random_and_4,1.2285080996724322,3.218856968786698,0.8416877546783514,1,3.677961855092849,4c6658431f1bd4c5,2c1a6af6e505fa9f,True,2c1a6af6e505fa9f,True,0
19923,attack,S0,0,22,4,random_nibble,1.9420772934079216,3.5984842381102133,0.889018945165544,1,4.65738031316077,224f9454c6091d9d,c441d548cbc1f464,True,c441d548cbc1fc64,False,1
19926,attack,S5,5,22,1,random_and_4,-7.805018269143749,17.72476020053187,1.5837437582601803,3,4.602862345078144,9afe71bf49460bae,904ac2f6b0ae87a9,False,,,-1
19927,attack,S5,5,23,7,random_and_4,-4.451347805370769,4.307296226341034,0.7080507426503506,1,3.898639762350419,587959401b93a134,f4788f65e842b7de,True,f4788f65e842b7de,True,0
19928,attack,S5,5,23,3,random_and_4,-5.931020225104608,3.195839701422468,0.895628937621414,1,1.78873225952184,f8d6c03aa38ceb3c,70edb79af74d080d,True,70edb79af74d080d,True,0
19936,attack,S0,0,22,0,random_and_4,-0.972765556289962,2.7573097533472177,0.4643144992373365,1,3.792994119161092,4b555563cfb9acbc,bc79472fb92a7dc5,True,bc79472fb92a7dc5,True,0
19940,attack,S5,5,22,1,random_and_4,-1.0458400451983292,1.6715073039591366,0.638545185758543,2,2.3964747669786908,e33664a02080cadf,1618f88d45b71e7f,True,1618f88d45b71e7f,True,0
19941,attack,S5,5,22,1,random_and_4,-1.9277388402680191,1.241558583069417,0.474698203583934,1,4.42187856478513,5e4d910e8caf442e,97eb02b74f518c35,True,97eb02b74f508c35,False,1
