trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256,global_alignment_shift_samples,affine_residual_intercept_samples,affine_residual_slope_samples_per_sample,affine_residual_slope_ppm,reference_correlation_before,reference_correlation_after
358,0,2,random,bb72e8041622433a,1dd9f44746d38c9d,96,100000000.0,4288,ed764162498257ace5a5149243b9d7e9dd5f811e9a7a712dad7255bbf6bfe2a9,1,-4.002687003117655,0.001471534792294318,1471.534792294318,0.12301526417444564,0.10719305882776245
359,3,1,random,b5162dbf16ffc279,0fabe4dcd61043d3,96,100000000.0,4288,c2d70f781e640ce696e8c4611347f06ecdf9c56e361e15cd077674dd38efcc58,-1,-1.1418230792615403,0.0009208913642684562,920.8913642684562,0.1358093065778415,0.2320354920474842
360,1,2,random,96bc667b021f10f3,62ad26f70c555304,96,100000000.0,4288,99c6845d77c2e8ba9227d810bf85db1caec3cd607155aeb9bedca94d59345938,-2,0.43615024809124026,-0.00015040735423391675,-150.40735423391675,0.09130711675110588,0.20135776467894645
361,0,0,random,ebe2502a364c6563,d21cf1b9c3b54d25,96,100000000.0,4288,c2de28d209e2d12c81ee6b8da3f209f31f4a4404e3fde091470ca53723df38f2,-2,3.163709486717585,-0.003411031166089037,-3411.031166089037,0.07073219808863461,0.2294884394499128
362,2,1,random,a59e74d2b12fc984,63c795c37cfe7187,96,100000000.0,4288,446f572e5f23f5131fb758a241d18d6087e855932a1a3d50b5757f307436074d,-2,-0.3369183599140212,-0.0001301299023109649,-130.1299023109649,0.11221611430957361,0.2223718979465562
363,2,1,random,988585ce7bde2647,75bfb0f7d0e6bd7b,96,100000000.0,4288,680aaa0fda1c004b4bf561ea295e2c21f7981e93586d2eb3d360c3ca07641f2f,2,-0.8303934460870471,0.00020702980062059487,207.02980062059487,0.1667624143558381,0.25980847674002555
364,3,0,walking_one,0000000000400000,821e9e00f3f3f8ca,96,100000000.0,4288,72ed1faa5097eab7961b7f4b6c7d846d991723f2982609b546eb038abaa84188,0,1.2339168067234625,-0.003145487280062209,-3145.487280062209,0.12224922069218641,0.2727298248588876
365,0,0,walking_zero,ffffffffffbfffff,e8054538e6ce1aa9,96,100000000.0,4288,29abfa377597e330371a45895bcbd8fda5dc96045ceb4d9cdd91b03238c92907,0,-0.4437642117016569,-0.001274668390012954,-1274.668390012954,0.1165167474577921,0.10520969590499823
366,0,3,repeated_nibble,6666666666666666,01235f795feadb2c,96,100000000.0,4288,ff23f31d53fb6ff9841504849bbf7de98078664ff415fdf8ab5c6e36a335cdf2,1,1.3928843687648702,-0.0005000960997818634,-500.0960997818634,0.10572093088088616,0.20606037637274077
367,0,2,counter,d18780ed7bc7e21b,274a7045e1c27e66,96,100000000.0,4288,b40e842016b82d5ca8bf821b8e04aa78030d3334d664f5ec5e598e4af2c9b572,0,-0.5126715514449978,0.0006770673110296036,677.0673110296036,0.1390502384891897,0.2072491705626944
