pipeline,attack_type,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_random_threshold,SHFA,1,S5,5,8,8,268,78,0.0036338828246825577,0.01343688362919132,0.001115750964004494,0.0011157509640044938,0.017070766453873877,4.882806063737657e-05
shfa_random_threshold,SHFA,1,S5,5,9,9,268,78,0.003968032969480953,0.007848454963839579,0.0007696734238885352,0.0007696734238885352,0.011816487933320532,3.114292805600189e-05
shfa_random_threshold,SHFA,1,S5,5,10,a,268,78,0.0048034083314769434,0.01606673241288626,0.0013815588728543688,0.0013815588728543688,0.020870140744363205,7.717507633166852e-05
shfa_random_threshold,SHFA,1,S5,5,11,b,268,78,0.003773112051681889,0.004561143984220907,0.0005381007095802451,0.0005381007095802451,0.008334256035902796,1.7209707336320254e-05
shfa_random_threshold,SHFA,1,S5,5,12,c,268,78,0.003968032969480954,0.02494247205785667,0.0019058791156745345,0.0019058791156745343,0.028910505027337625,9.897255146593272e-05
shfa_random_threshold,SHFA,1,S5,5,13,d,268,78,0.006362775673869458,0.00423241288625904,0.0006891291787624917,0.0006891291787624917,0.010595188560128498,2.6929893754460637e-05
shfa_random_threshold,SHFA,1,S5,5,14,e,268,78,0.006669079973267988,0.016395463510848127,0.0015508766251099006,0.0015508766251099006,0.023064543484116115,0.0001093426573526433
shfa_random_threshold,SHFA,1,S5,5,15,f,268,78,0.004692024949877478,0.014094345825115059,0.001240279195700675,0.001240279195700675,0.01878637077499254,6.613102226364132e-05
shfa_random_budget,SHFA,0,S0,0,0,0,2100,767,0.00044693877551020415,0.001164287450555764,0.0001012220043366163,0.00010122200433661631,0.0016112262260659684,5.203652074932905e-07
shfa_random_budget,SHFA,0,S0,0,1,1,2100,767,0.0004673469387755103,0.0013784678958811058,0.00011600764991737887,0.00011600764991737886,0.001845814834656616,6.442227513403537e-07
shfa_random_budget,SHFA,0,S0,0,2,2,2100,767,0.0005349206349206348,0.0015008567217813008,0.0001280389240244111,0.00012803892402441113,0.0020357773567019357,8.02839230540156e-07
shfa_random_budget,SHFA,0,S0,0,3,3,2100,767,0.0006768707482993196,0.001130290554472377,0.00011371264203663241,0.00011371264203663241,0.0018071613027716967,7.650606134013707e-07
shfa_random_budget,SHFA,0,S0,0,4,4,2100,767,0.0007630385487528346,0.00240857384720775,0.00020006360944047394,0.00020006360944047397,0.0031716123959605845,1.837834692937433e-06
shfa_random_budget,SHFA,0,S0,0,5,5,2100,767,0.00048185941043083906,0.0014532610672645585,0.00012164529737703652,0.00012164529737703655,0.0019351204776953976,7.002675210741921e-07
shfa_random_budget,SHFA,0,S0,0,6,6,2100,767,0.00033446712018140586,0.0016402439957231905,0.00012396805242968165,0.00012396805242968165,0.0019747111159045963,5.486076856443777e-07
shfa_random_budget,SHFA,0,S0,0,7,7,2100,767,0.00037437641723356003,0.0030375164247504203,0.0002143804771403849,0.00021438047714038495,0.0034118928419839805,1.1371745163861549e-06
shfa_random_budget,SHFA,0,S0,0,8,8,2100,767,0.0006283446712018142,0.001225481863505862,0.00011663418341781812,0.00011663418341781812,0.001853826534707676,7.700249985883773e-07
shfa_random_budget,SHFA,0,S0,0,9,9,2100,767,0.000447392290249433,0.0013988660335311383,0.00011601698711477934,0.00011601698711477934,0.0018462583237805713,6.258418784936361e-07
shfa_random_budget,SHFA,0,S0,0,10,a,2100,767,0.0006287981859410432,0.0017252362359316592,0.00014821197678251748,0.00014821197678251748,0.002354034421872702,1.084825415473581e-06
shfa_random_budget,SHFA,0,S0,0,11,b,2100,767,0.0004292517006802721,0.0019530154396903564,0.00014973003147210622,0.00014973003147210622,0.0023822671403706287,8.383351989419149e-07
shfa_random_budget,SHFA,0,S0,0,12,c,2100,767,0.000626984126984127,0.001633444616506513,0.00014230094031502226,0.00014230094031502223,0.00226042874349064,1.0241438468572582e-06
shfa_random_budget,SHFA,0,S0,0,13,d,2100,767,0.00042653061224489784,0.0016028474100314642,0.0001275197898794085,0.0001275197898794085,0.0020293780222763623,6.836634871358693e-07
shfa_random_budget,SHFA,0,S0,0,14,e,2100,767,0.00033673469387755095,0.0027485428080416255,0.00019375537359102378,0.00019375537359102378,0.0030852775019191763,9.25529721075241e-07
shfa_random_budget,SHFA,0,S0,0,15,f,2100,767,0.0004659863945578228,0.0018408256826151776,0.00014503355454616382,0.0001450335545461638,0.0023068120771730003,8.577997228512897e-07
shfa_random_budget,SHFA,0,S5,5,0,0,2378,600,0.0007115530574986154,0.0024111111111111104,0.00019688214402118788,0.00019688214402118786,0.003122664168609726,1.7156334830799944e-06
