pipeline,attack_type,key_id,target_sbox,target_sbox_index,injection_checkpoint,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_guided_threshold,SHFA,1,S0,0,1500,14,e,843,657,0.003511490904792662,0.0033521159553248124,0.0004407463534462756,0.0004407463534462756,0.006863606860117475,1.1770924688933445e-05
shfa_guided_threshold,SHFA,1,S0,0,1500,15,f,843,657,0.0020367825748013437,0.0022169343610201806,0.00027037272176484955,0.0002703727217648495,0.004253716935821524,4.515413276004255e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,0,0,1139,861,0.0012521476951348203,0.0012146391374316932,0.00015569508463176272,0.00015569508463176274,0.0024667868325665135,1.520907596355641e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,1,1,1139,861,0.0006678667037687666,0.0023720324933463374,0.0001915779013422576,0.00019157790134225763,0.003039899197115104,1.5842015225636272e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,2,2,1139,861,0.0013816453291051324,0.0013900017671157302,0.00017514843296278723,0.00017514843296278723,0.0027716470962208624,1.9204894489833285e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,3,3,1139,861,0.00165297370504293,0.0012308264570948342,0.0001822720339026592,0.00018227203390265914,0.002883800162137764,2.034523769048911e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,4,4,1139,861,0.0013569791131107878,0.0009853187755371829,0.00014773067503865802,0.000147730675038658,0.0023422978886479704,1.3370569981598537e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,5,5,1139,861,0.002385251992375056,0.00239631347284105,0.0003045636530614559,0.0003045636530614559,0.004781565465216106,5.715811485449304e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,6,6,1139,861,0.0031375715802025865,0.0024799479577672827,0.00035887598535578897,0.0003588759853557889,0.00561751953796987,7.78101423267207e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,7,7,1139,861,0.0011056920376683952,0.001152587745389649,0.00014241689353391925,0.00014241689353391925,0.002258279783058044,1.2744070927915024e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,8,8,1139,861,0.0019350935504782551,0.0016489988817259995,0.00022719674411353973,0.00022719674411353976,0.0035840924322042547,3.1909671007738367e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,9,9,1139,861,0.0019705512359701255,0.0013063672821894965,0.00020738167104752584,0.00020738167104752584,0.003276918518159622,2.574263662549446e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,10,a,1139,861,0.0010563596056797043,0.001017693414863467,0.0001307033639983762,0.00013070336399837623,0.0020740530205431715,1.0750502144280038e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,11,b,1139,861,0.001819470663004761,0.0005779378973481122,0.00015088957607131814,0.00015088957607131811,0.0023974085603528732,1.0515410492635473e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,12,c,1139,861,0.002493166687350316,0.0025096247104830433,0.0003189313750905125,0.00031893137509051247,0.0050027913978333595,6.256912725927506e-06
shfa_guided_threshold,SHFA,1,S0,0,2000,13,d,1139,861,0.007370910900232093,0.006783077101552499,0.000934621707056485,0.000934621707056485,0.014153988001784593,4.999745694494803e-05
shfa_guided_threshold,SHFA,1,S0,0,2000,14,e,1139,861,0.0035507306981078703,0.003324386466861184,0.0004414988238908243,0.00044149882389082424,0.006875117164969054,1.180400108025837e-05
shfa_guided_threshold,SHFA,1,S0,0,2000,15,f,1139,861,0.0017408470995227854,0.0021777846573886343,0.00024870567491116395,0.00024870567491116395,0.0039186317569114195,3.791190104200227e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,0,0,1695,1305,0.0008315059910721278,0.0006529190704775328,9.331947246564109e-05,9.331947246564109e-05,0.0014844250615496605,5.429061187873134e-07
