pipeline,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,sample_count,sei,chi
random_threshold,0,S5,5,8,8,38,0.03722299168975069,22.63157894736842
random_threshold,0,S5,5,9,9,38,0.03860803324099723,23.473684210526315
random_threshold,0,S5,5,10,a,38,0.026142659279778387,15.894736842105258
random_threshold,0,S5,5,11,b,38,0.0413781163434903,25.157894736842103
random_threshold,0,S5,5,12,c,38,0.03999307479224377,24.31578947368421
random_threshold,0,S5,5,13,d,38,0.03860803324099722,23.47368421052631
random_threshold,0,S5,5,14,e,38,0.019217451523545703,11.684210526315788
random_threshold,0,S5,5,15,f,38,0.024757617728531852,15.052631578947366
random_threshold,1,S0,0,0,0,39,0.011793228139381984,7.358974358974359
random_threshold,1,S0,0,1,1,39,0.01573800131492439,9.82051282051282
random_threshold,1,S0,0,2,2,39,0.019682774490466796,12.282051282051281
random_threshold,1,S0,0,3,3,39,0.02231262327416173,13.92307692307692
random_threshold,1,S0,0,4,4,39,0.02757232084155161,17.205128205128204
random_threshold,1,S0,0,5,5,39,0.01705292570677186,10.64102564102564
random_threshold,1,S0,0,6,6,39,0.01573800131492439,9.82051282051282
random_threshold,1,S0,0,7,7,39,0.020997698882314265,13.102564102564102
random_threshold,1,S0,0,8,8,39,0.024942472057856675,15.564102564102566
random_threshold,1,S0,0,9,9,39,0.03414694280078895,21.307692307692303
random_threshold,1,S0,0,10,a,39,0.02231262327416174,13.923076923076925
random_threshold,1,S0,0,11,b,39,0.013108152531229454,8.179487179487179
random_threshold,1,S0,0,12,c,39,0.03020216962524655,18.846153846153847
random_threshold,1,S0,0,13,d,39,0.028887245233399077,18.025641025641026
random_threshold,1,S0,0,14,e,39,0.03020216962524655,18.846153846153847
random_threshold,1,S0,0,15,f,39,0.02494247205785667,15.564102564102562
random_threshold,1,S5,5,0,0,37,0.027346603360116878,16.189189189189193
random_threshold,1,S5,5,1,1,37,0.028807523739956174,17.054054054054056
random_threshold,1,S5,5,2,2,37,0.02296384222059898,13.594594594594597
random_threshold,1,S5,5,3,3,37,0.025885682980277575,15.324324324324325
random_threshold,1,S5,5,4,4,37,0.017120160701241786,10.135135135135137
random_threshold,1,S5,5,5,5,37,0.04926040905770636,29.162162162162165
random_threshold,1,S5,5,6,6,37,0.040494886778670566,23.972972972972975
random_threshold,1,S5,5,7,7,37,0.037573046018991973,22.24324324324325
random_threshold,1,S5,5,8,8,37,0.02296384222059898,13.594594594594597
random_threshold,1,S5,5,9,9,37,0.031729364499634774,18.783783783783786
random_threshold,1,S5,5,10,a,37,0.03319028487947408,19.648648648648653
random_threshold,1,S5,5,11,b,37,0.027346603360116878,16.189189189189193
