pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_raw,1,8,2,82,0.002866415168715153
random_raw,1,8,3,83,0.0016363819521499502
random_raw,1,8,4,84,0.002276906161697729
random_raw,1,8,5,85,0.0022769061616977285
random_raw,1,8,6,86,0.002679359426103855
random_raw,1,8,7,87,0.0018631161856181898
random_raw,1,8,8,88,0.0026226758677367953
random_raw,1,8,9,89,0.0021011871307598426
random_raw,1,8,10,8a,0.0015456882587626536
random_raw,1,8,11,8b,0.0014663312770487697
random_raw,1,8,12,8c,0.0023109162967179645
random_raw,1,8,13,8d,0.002543318886022911
random_raw,1,8,14,8e,0.002373268210921731
random_raw,1,8,15,8f,0.002021830149045958
random_raw,1,9,0,90,0.0020930507783455407
random_raw,1,9,1,91,0.0026938964970363768
random_raw,1,9,2,92,0.0033060789274006255
random_raw,1,9,3,93,0.0020760457108354225
random_raw,1,9,4,94,0.0027165699203832014
random_raw,1,9,5,95,0.0027165699203832014
random_raw,1,9,6,96,0.0031190231847893274
random_raw,1,9,7,97,0.0023027799443036626
random_raw,1,9,8,98,0.0030623396264222677
random_raw,1,9,9,99,0.002540850889445315
random_raw,1,9,10,9a,0.0019853520174481264
random_raw,1,9,11,9b,0.0019059950357342423
random_raw,1,9,12,9c,0.002750580055403437
random_raw,1,9,13,9d,0.0029829826447083834
random_raw,1,9,14,9e,0.0028129319696072034
random_raw,1,9,15,9f,0.0024614939077314303
random_raw,1,10,0,a0,0.002701815982679273
random_raw,1,10,1,a1,0.0033026617013701093
random_raw,1,10,2,a2,0.003914844131734358
random_raw,1,10,3,a3,0.002684810915169155
random_raw,1,10,4,a4,0.0033253351247169334
random_raw,1,10,5,a5,0.0033253351247169334
random_raw,1,10,6,a6,0.0037277883891230594
random_raw,1,10,7,a7,0.0029115451486373947
random_raw,1,10,8,a8,0.003671104830756
random_raw,1,10,9,a9,0.0031496160937790475
random_raw,1,10,10,aa,0.0025941172217818585
