key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
0,S0,0,0.4,5,5,317,0.0032882952362945205,16.678233438485808,-inf
0,S0,0,0.4,6,6,317,0.003208684532635413,16.274447949526817,-inf
0,S0,0,0.4,7,7,317,0.004840703957647105,24.552050473186117,-inf
0,S0,0,0.4,8,8,317,0.0014572490521350596,7.391167192429022,-inf
0,S0,0,0.4,9,9,317,0.0036863487545900544,18.697160883280755,-inf
0,S0,0,0.4,10,a,317,0.004323234383862911,21.927444794952685,-inf
0,S0,0,0.4,11,b,317,0.0028504363661694316,14.457413249211356,-inf
0,S0,0,0.4,12,c,317,0.004044596921056036,20.514195583596216,-inf
0,S0,0,0.4,13,d,317,0.0022334534128113526,11.328075709779181,-inf
0,S0,0,0.4,14,e,317,0.003547030023186618,17.990536277602526,-inf
0,S0,0,0.4,15,f,317,0.0037858621341639387,19.201892744479498,-inf
0,S0,0,0.5,0,0,396,0.0018429241914090398,11.676767676767676,-inf
0,S0,0,0.5,1,1,396,0.003092796653402714,19.595959595959595,-inf
0,S0,0,0.5,2,2,396,0.002888735843281298,18.303030303030305,-inf
0,S0,0,0.5,3,3,396,0.002353076216712581,14.909090909090914,-inf
0,S0,0,0.5,4,4,396,0.004074839302112029,25.818181818181817,-inf
0,S0,0,0.5,5,5,396,0.0022637996122844613,14.343434343434348,-inf
0,S0,0,0.5,6,6,396,0.002046985001530456,12.96969696969697,-inf
0,S0,0,0.5,7,7,396,0.002761197836955413,17.494949494949495,-inf
0,S0,0,0.5,8,8,396,0.002544383226201408,16.12121212121212,-inf
0,S0,0,0.5,9,9,396,0.0025826446280991736,16.363636363636363,-inf
0,S0,0,0.5,10,a,396,0.003883532292623202,24.60606060606061,-inf
0,S0,0,0.5,11,b,396,0.0023275686154474035,14.747474747474747,-inf
0,S0,0,0.5,12,c,396,0.00295250484644424,18.707070707070706,-inf
0,S0,0,0.5,13,d,396,0.0019704621977349257,12.48484848484849,-inf
0,S0,0,0.5,14,e,396,0.0029142434445464747,18.464646464646464,-inf
0,S0,0,0.5,15,f,396,0.003220334659728599,20.404040404040405,-inf
0,S0,0,0.65,0,0,515,0.001570129135639551,12.9378640776699,-inf
0,S0,0,0.65,1,1,515,0.0016756998774625316,13.80776699029126,-inf
0,S0,0,0.65,2,2,515,0.0021432274483928733,17.660194174757276,-inf
0,S0,0,0.65,3,3,515,0.001095060797436139,9.023300970873786,-inf
0,S0,0,0.65,4,4,515,0.002987793382976717,24.61941747572815,-inf
0,S0,0,0.65,5,5,515,0.002618295786596286,21.574757281553396,-inf
0,S0,0,0.65,6,6,515,0.0013137430483551702,10.825242718446603,-inf
0,S0,0,0.65,7,7,515,0.0024071543029503253,19.83495145631068,-inf
0,S0,0,0.65,8,8,515,0.0015852106701856909,13.062135922330093,-inf
0,S0,0,0.65,9,9,515,0.001962249033839193,16.16893203883495,-inf
0,S0,0,0.65,10,a,515,0.003093364124799698,25.489320388349512,-inf
0,S0,0,0.65,11,b,515,0.001932085964746913,15.920388349514564,-inf
0,S0,0,0.65,12,c,515,0.0020829013102083137,17.163106796116505,-inf
0,S0,0,0.65,13,d,515,0.0017888113865585822,14.739805825242717,-inf
0,S0,0,0.65,14,e,515,0.0017209444811009517,14.180582524271841,-inf
0,S0,0,0.65,15,f,515,0.0027464888302384765,22.631067961165048,-inf
0,S0,0,0.8,0,0,634,0.0008054364159261213,8.170347003154575,-inf
0,S0,0,0.8,1,1,634,0.0008303147608195924,8.422712933753946,-inf
0,S0,0,0.8,2,2,634,0.001924961936132313,19.526813880126184,-inf
0,S0,0,0.8,3,3,634,0.0014423220451989767,14.63091482649842,-inf
0,S0,0,0.8,4,4,634,0.0018055458806436526,18.315457413249213,-inf
0,S0,0,0.8,5,5,634,0.0019000835912388425,19.274447949526817,-inf
0,S0,0,0.8,6,6,634,0.0008352904297982865,8.473186119873818,-inf
0,S0,0,0.8,7,7,634,0.0020394023226422793,20.687697160883282,-inf
0,S0,0,0.8,8,8,634,0.0013179303207316228,13.369085173501581,-inf
0,S0,0,0.8,9,9,634,0.0015816407766024148,16.044164037854895,-inf
0,S0,0,0.8,10,a,634,0.0016562758112828274,16.801261829653,-inf
0,S0,0,0.8,11,b,634,0.0017358865149419344,17.608832807570984,-inf
0,S0,0,0.8,12,c,634,0.0017408621839206282,17.659305993690854,-inf
0,S0,0,0.8,13,d,634,0.0015965677835384968,16.19558359621451,-inf
0,S0,0,0.8,14,e,634,0.001178611589328185,11.955835962145109,-inf
0,S0,0,0.8,15,f,634,0.0027957040074037954,28.3596214511041,-inf
0,S0,0,1.0,0,0,792,0.0005197173757779818,6.585858585858586,-inf
0,S0,0,1.0,1,1,792,0.00035710641771247826,4.525252525252524,-inf
0,S0,0,1.0,2,2,792,0.0015017600244872972,19.03030303030303,-inf
0,S0,0,1.0,3,3,792,0.000953346597285991,12.080808080808078,-inf
0,S0,0,1.0,4,4,792,0.001466687072747679,18.58585858585859,-inf
0,S0,0,1.0,5,5,792,0.001135088256300378,14.383838383838391,-inf
0,S0,0,1.0,6,6,792,0.0009055198449137841,11.474747474747472,-inf
0,S0,0,1.0,7,7,792,0.0013072645648403228,16.56565656565657,-inf
0,S0,0,1.0,8,8,792,0.001026680950923375,13.010101010101009,-inf
0,S0,0,1.0,9,9,792,0.0008704468931741659,11.030303030303031,-inf
0,S0,0,1.0,10,a,792,0.001013927150290787,12.848484848484853,-inf
0,S0,0,1.0,11,b,792,0.0013901642689521478,17.616161616161616,-inf
0,S0,0,1.0,12,c,792,0.0013232068156310579,16.767676767676765,-inf
0,S0,0,1.0,13,d,792,0.0011223344556677889,14.222222222222221,-inf
0,S0,0,1.0,14,e,792,0.0006982705846342213,8.848484848484853,-inf
