trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256
100,1,1,random,2c08406253bb1ebc,fc931f644a37befb,96,100000000.0,4288,c8e7c3a8c53e499d42b9b79fededf5a3a1e1cadce3f251291ecefb948613298f
101,0,0,random,00abbc2bf25c063d,a0f50ba6eb6b25a4,96,100000000.0,4288,5a3fa3bc35df5d1a710648d58f177e7817536489fd2318e8b8a6d0aa5bedbf7a
102,0,2,random,b3dd64aaa1831a5d,e9b1b84de79de563,96,100000000.0,4288,f5df02a0b5da6f726cce1651c744a3e231815e1000ef369099784839de4b8181
103,2,0,random,fdbb16dffa5ac0c7,831aef40e452205f,96,100000000.0,4288,fed957b6a13fa6a89dd401d3babf97b62269cfb93e1c266543aabcd5dec61d24
104,0,0,random,373f8126fcf9acc1,1437cfce5a52d682,96,100000000.0,4288,0e053ed7fcd7b4deab7f9cdadbe5954bcbb4e31ff0aa5f764594b983cb9aec0d
105,1,3,random,983597220d484740,c5b22f9102c0af83,96,100000000.0,4288,2e85d0691185903749fd80e3389ba6178b7333f90b419acfbc07fa780a0b5c9c
106,0,0,random,27aec791edbd5a69,bc846f67f3b8b22f,96,100000000.0,4288,0cada9a250f48c33586a55edc3f506a33a2332df16d778c5d008bb7b5adf940f
107,2,3,random,31ec0f2a0b587315,f7442ca95ec91cef,96,100000000.0,4288,a2d1a83386dad79659647630573fa2afee1b6651cdbcfe4e3037b518fd5be848
108,2,0,walking_one,0000000000000040,3b0c85a57087f46f,96,100000000.0,4288,2fb769d8bb6c452a3b3b3a7adf56ac99e14b74cdb659a346b5da4a30be99e315
109,0,0,walking_zero,ffffffffffffffbf,52c5e563ebda7457,96,100000000.0,4288,98b84d07ba2fc4d011cb82209e71f4a586acd9827c71c78b57e79091243d1d38
110,0,1,repeated_nibble,6666666666666666,01235f795feadb2c,96,100000000.0,4288,c7a7135c90d849cf8a242cd5d96025564359095d819fb6ef0e22b3c3897753a0
111,1,1,counter,9a0dc76e314bcd1b,2df99fb1507cce7e,96,100000000.0,4288,5eb732d3d40eeb20a0a8d0a7c0ece9e7f722162b2c9948551afff40690ae68e2
