experiment_id,category,category_id,sampling_regime,target_sbox,target_sbox_index,key_id,session_id,master_key_hex,round_key_32_hex,x31_hex,x32_hex,target_original_input,target_faulted_input,impacted_sboxes,impacted_sbox_count,target_impacted,off_target_impacted,changed_sbox_input_count,fault_effective,invalid_subtype,invalid_probability,global_jitter_samples,injection_jitter_samples,model_details_json
2348,clean_target_effective,2,target_probe,S0,0,6,2,b67736ff4c567a14112b,30e88f1f,265fcfba,f08cf05d,2,13,S0,1,True,False,1,True,,0.0005314081261845544,0.6327230534260094,-0.16540604343677157,"{""S0"": {""replacement"": 13}}"
2349,off_target,3,target_probe,S5,5,6,2,b67736ff4c567a14112b,30e88f1f,9fab7cf0,1c780717,9,9,S0,1,False,True,1,True,,0.0005339641053469574,-0.07271370108001969,-0.021205394986238177,"{""S0"": {""and_mask"": 3}}"
2350,clean_target_effective,2,target_probe,S0,0,7,2,b78b228f913a5cfcb7ec,5efdde13,038778eb,4bb517fd,14,6,S0,1,True,False,1,True,,0.0006067867022007218,-0.41588579875618764,-0.2129238567851513,"{""S0"": {""bit_position"": 3, ""stuck_value"": 0}}"
2351,missed,0,target_probe,S5,5,7,2,b78b228f913a5cfcb7ec,5efdde13,0ae6432b,f546fe09,11,11,,0,False,False,0,False,,0.0005,-0.10785760090944395,-0.21483621294333416,{}
2352,clean_target_ineffective,1,target_probe,S0,0,0,3,94be897446726719d350,124ec80a,265d0c5c,e413dfa7,13,13,S0,1,True,False,0,False,,0.0009550266367567381,0.1053547619283747,0.4369495699690911,"{""S0"": {""bit_position"": 3, ""stuck_value"": 1}}"
2353,off_target,3,neighbor_probe,S5,5,0,3,94be897446726719d350,124ec80a,a46872a1,430049f0,4,4,S4,1,False,True,1,True,,0.0010077454655944825,0.20809367136688006,-0.21700838729746913,"{""S4"": {""and_mask"": 8}}"
2354,off_target,3,neighbor_probe,S0,0,1,3,454d5b2e2dc08ce40669,2bcb35b6,8c1d2b30,ced5c90b,13,13,S1,1,False,True,0,False,,0.0005,0.3691447356156353,0.0469027060822457,"{""S1"": {""and_mask"": 15}}"
2355,missed,0,neighbor_probe,S5,5,1,3,454d5b2e2dc08ce40669,2bcb35b6,688bb59c,e95815b2,9,9,,0,False,False,0,False,,0.0005,0.5922922563680836,-0.15652298454704555,{}
2356,multi_hit,4,multi_probe,S0,0,2,3,982fc83b7cc8e27ed3ed,c48bcaf1,e1e551f3,ace69e70,1,1,S1;S2,2,False,True,0,False,,0.1697916946702877,-0.10895622332821871,0.08025588121029581,"{""S1"": {""and_mask"": 15, ""randomized_positions"": [0, 3]}, ""S2"": {""and_mask"": 15, ""randomized_positions"": [0, 1]}}"
2357,clean_target_ineffective,1,multi_probe,S5,5,2,3,982fc83b7cc8e27ed3ed,c48bcaf1,9f89551a,b401b494,8,8,S5,1,True,False,0,False,,0.11194198260087462,0.3990816582745507,0.08678437246658396,"{""S5"": {""and_mask"": 15}}"
