batch_index,campaign_arm,target_sbox,objective,recommendation_candidate_id,recommendation_rank,selection_count,mean_public_objective_score,mean_p_clean_target_ineffective,mean_p_clean_target_effective
0,guided_exploit,S0,SIFA,36077,19,19,0.2506740789682014,0.2506740789682014,0.6053556645387994
0,guided_exploit,S0,SIFA,36514,20,12,0.22875342823425085,0.22875342823425085,0.599892151371837
0,guided_exploit,S0,SIFA,36573,8,27,0.18730906993578533,0.18730906993578533,0.6191759074933562
0,guided_exploit,S0,SIFA,37516,5,21,0.3540966693263823,0.3540966693263823,0.3684834349755306
0,guided_exploit,S0,SIFA,38461,7,23,0.3093308980316926,0.3093308980316926,0.3887550684094839
0,guided_exploit,S0,SIFA,39022,1,57,0.3763105274903608,0.3763105274903608,0.3975857497091589
0,guided_exploit,S5,SEFA,17518,4,33,0.4722928388403339,0.2259612743983776,0.4722928388403339
0,guided_exploit,S5,SEFA,19560,3,35,0.5684235384926639,0.2635404681898427,0.5684235384926639
0,guided_exploit,S5,SEFA,22093,24,8,0.6339942284404817,0.2031127721245069,0.6339942284404817
0,guided_exploit,S5,SEFA,22314,14,24,0.468172694957641,0.3472473629523766,0.468172694957641
0,guided_exploit,S5,SEFA,22398,22,20,0.49829004522427106,0.28385096769750234,0.49829004522427106
0,guided_exploit,S5,SEFA,23304,8,24,0.48997552324356103,0.28322688792667716,0.48997552324356103
0,guided_exploit,S5,SEFA,24409,11,23,0.5520805014268519,0.22142683617345682,0.5520805014268519
0,guided_exploit,S5,SEFA,24815,7,27,0.5258001158006183,0.3098986580859722,0.5258001158006183
0,guided_exploit,S5,SEFA,27308,9,18,0.38776112105614896,0.4145714095959637,0.38776112105614896
0,guided_exploit,S5,SEFA,27360,6,31,0.4544308188633409,0.37389227169796563,0.4544308188633409
0,guided_exploit,S5,SEFA,27591,2,28,0.4861025254968028,0.2917995521459719,0.4861025254968028
0,guided_exploit,S5,SEFA,28093,10,11,0.23626434958809897,0.5871225388315959,0.23626434958809897
0,guided_exploit,S5,SEFA,28748,18,21,0.439981949513669,0.353573520631549,0.439981949513669
0,guided_exploit,S5,SEFA,28917,5,29,0.4761302484333927,0.3707366049483186,0.4761302484333927
0,guided_exploit,S5,SEFA,30370,20,21,0.45395875011990305,0.3521312912088114,0.45395875011990305
0,guided_exploit,S5,SEFA,30739,21,16,0.45056657035901604,0.35856697600818743,0.45056657035901604
0,guided_exploit,S5,SEFA,31397,16,11,0.4725763290198396,0.2791893458993568,0.4725763290198396
0,guided_exploit,S5,SEFA,31422,19,17,0.38725196033949005,0.4063162653100038,0.38725196033949005
0,guided_exploit,S5,SEFA,32607,13,14,0.46059144162411797,0.3553387119785883,0.46059144162411797
0,guided_exploit,S5,SEFA,32742,23,16,0.4378978126790588,0.29689247394075047,0.4378978126790588
0,guided_exploit,S5,SEFA,33392,17,12,0.4310089037020282,0.3902731099256576,0.4310089037020282
0,guided_exploit,S5,SEFA,37288,12,26,0.43087448732319406,0.3790047788862836,0.43087448732319406
0,guided_exploit,S5,SEFA,38093,15,15,0.5144666738464819,0.27798046563621504,0.5144666738464819
0,guided_exploit,S5,SEFA,38548,1,45,0.518309653293335,0.2861385207765821,0.518309653293335
0,guided_exploit,S5,SHFA,15290,23,12,0.0005923404830801557,0.27287321601956943,0.4565704552090258
0,guided_exploit,S5,SHFA,19705,14,20,0.0008920230003825285,0.38581961921379393,0.42461301846806093
0,guided_exploit,S5,SHFA,23000,6,12,0.0008826858386750046,0.34474401437899943,0.5098810687802471
0,guided_exploit,S5,SHFA,23193,1,33,0.0009648030635287347,0.23487804951510707,0.5785349127608002
0,guided_exploit,S5,SHFA,25687,21,11,0.0005812559616929521,0.13035732223829333,0.6019730833492148
