rank,score,first_center_sample,spacing_samples,mean_center_specificity,minimum_center_specificity,mean_prominence
124,7.664376438227636,4082,12,8.041384218572793,-2.1489428695420245,2.3473845461282163
125,7.659925392032726,4073,10,8.952360474922068,0.9025964487823442,-5.893919508196397
126,7.6589455001846325,4086,5,8.151834636051182,-1.2328102661841487,0.4019274506121861
127,7.601312390476659,4074,13,8.292976313090476,-1.5245428248351292,0.19983131655187858
128,7.576963389008685,4080,13,7.821254258247385,-1.0863638999380112,2.588969822572568
129,7.502593301907265,4094,5,8.045755905009063,-1.060458975754346,-0.12982801442770264
130,7.497980145074769,4073,13,8.16997100508656,-0.66589022519659,-0.20882999871505747
131,7.462145364934458,4084,5,7.950315133481652,-0.463239120008654,0.9635514648571262
132,7.418206506620331,4075,13,8.087804517871206,-1.9226827262429884,0.33245189189207025
133,7.3913113145489815,4079,13,7.696107199097732,-0.7964674862555619,1.92093208178478
134,7.312914760073863,4080,8,8.548900266623109,0.152499759764126,-5.001406304866409
135,7.299470449158352,4109,5,7.919494555336652,-0.6884339079584305,0.4398918350477481
136,7.290622694328706,4090,5,7.986915600745443,-1.592398230993609,0.15557448488205539
137,7.2744055042769995,4093,5,7.8530043045386195,-1.9059929450186115,-0.3428878510157488
138,7.271718262470532,4091,5,7.973882016897666,-2.0286751626036397,0.08125661193033529
139,7.2220252393272,4087,5,7.813910192206861,-1.1030449586252256,-0.1757285837898799
140,7.2175815208517005,4088,5,7.843828634743577,-0.5466585860697543,-0.23268232722544713
141,7.213289271115849,4070,13,7.925623589355681,-0.2925567392883102,-1.231794332726722
142,7.197411523927542,4081,7,7.850993363166771,-0.6390013329041222,-0.2398383946905458
143,7.188847081056872,4072,13,7.872859626706633,0.0776762690458429,-0.7527225515296947
144,7.16310687596506,4089,5,7.827912775578063,-1.3577773294172675,-0.11064926870198877
145,7.159973104061818,4082,6,7.695085770956302,-1.3577773294172675,1.0192851083257357
146,7.151572355927816,4092,5,7.8146213319644975,-2.0490955851889097,-0.2625280163594883
147,7.08272221960708,4071,13,7.778950919820463,0.26178767530243424,-1.116399721043233
