absolute_sample,roi_relative_sample,S0_eta_squared,S0_permutation_z,S0_specificity,S1_eta_squared,S1_permutation_z,S1_specificity,S2_eta_squared,S2_permutation_z,S2_specificity,S3_eta_squared,S3_permutation_z,S3_specificity,S4_eta_squared,S4_permutation_z,S4_specificity,S5_eta_squared,S5_permutation_z,S5_specificity,S6_eta_squared,S6_permutation_z,S6_specificity,S7_eta_squared,S7_permutation_z,S7_specificity
4087,38,0.08702650499077971,5.999511498951523,8.041833520874816,0.13182989205309245,7.032945252388175,9.994834914183656,0.07024606376486643,1.444093719706372,1.5751419094776513,0.05423229394947415,-1.2149785311879429,-1.809903261321316,0.06627698523054373,-0.27705776923471426,-1.0212265319815694,0.057780234250478305,0.11911542533301239,0.22437689111314546,0.059797119315789043,0.005076595809669491,-0.32608057798185125,0.05947435954603644,-0.0944753293023252,-0.7586404952595891
4088,39,0.09629449421496179,2.7127882535348373,3.7884834165229164,0.14609402215384365,10.394599725045401,14.75940427183963,0.0775573185008702,1.4534387208225161,1.6283703657236641,0.05234129067412718,-0.9353032653133067,-1.3566541694146415,0.056948708525958305,0.02976876214396898,-0.38887876567572116,0.043968297679236976,-0.2878081340259209,-0.5309030263976514,0.06138610676136963,0.17751285505592276,0.10873889165501811,0.049899054819575364,-0.03507386445738597,-0.6374439236096162
4089,40,0.058519788073494575,0.9961036590564789,1.427513603929893,0.21236553688286713,14.816581256405511,20.854729236823026,0.07050854576952295,1.288359613490606,1.297834394070569,0.05094741782658593,-0.8296415519942901,-1.2649501318251655,0.060427341714385296,0.3148837531885667,0.15883594043752952,0.061510832595004845,-0.39253496682861366,-0.7614783995620474,0.05880900932404548,0.0783686204803576,-0.22333750458052273,0.06665658003102011,0.4893663324611382,-0.11083790557135925
4090,41,0.06466931911441656,0.48693065965542726,0.6671776645284779,0.33255290344422067,19.767822532919094,27.716563511566868,0.063561795327098,1.2518487233837219,1.1557700232848267,0.046200607422762836,-0.8591631833375009,-1.439331477965521,0.06950056823753187,0.3530161666520015,0.028355118318140637,0.05178923617990605,-0.3361671989939909,-0.8013526661736307,0.05248735613141746,-0.2342820190950618,-0.810617020335833,0.06272803518796885,1.0070399082390664,0.4418932096374535
4091,42,0.046535931139588566,0.19155958391661637,0.32318890940838146,0.3639277204705443,23.13084575809724,32.483817999000564,0.07895031836146102,1.4442413887440955,1.4455490726245435,0.05195461212702764,-0.8112675671994068,-1.3148807584410445,0.06016247981987755,0.2583119448381307,-0.09365135224162975,0.05741450684339292,0.09659604547021175,-0.03528012920517948,0.057883298066739204,-0.4642759144443831,-1.0890582975307124,0.08595468050101107,1.4279449741588086,0.9536782738692348
4092,43,0.07449727837207643,0.479520385975551,0.5062681318252007,0.33682338761069575,23.484064053005646,32.786936522624444,0.0754793994490547,1.6521205048490493,1.5201439431867414,0.056029763889195214,-0.759668678309686,-1.373075912516856,0.05543070088953272,0.15179808805988929,-0.4258046218260506,0.05991474960754857,0.4330937838345654,0.38497165026504476,0.04620643346134654,-0.6070485308001393,-1.4285018538516507,0.07655074513365044,1.4050798661152262,0.7349754023107276
4093,44,0.06583772920830097,0.3393403639410281,0.22300595371987225,0.30113453130307516,20.503754253319663,28.63203624976351,0.0750766732582343,2.233864908733236,2.3021648059844915,0.04533059990666685,-0.890420792253551,-1.6279654281555604,0.05672558097578331,0.11450261567419526,-0.5646470318725407,0.07926864165653051,0.6936680204646699,0.8764874683471524,0.05093051644660618,-0.3007709366237179,-1.051478896106176,0.0612320934957627,1.375909448772136,0.7350742437753965
4094,45,0.05919221427982572,0.07350761559570687,-0.0645036608235296,0.19821474687364435,15.260263541295084,21.238710118569593,0.08173793549001078,3.6229698512625825,4.065682958390376,0.05053283633131943,-1.0024603006265784,-1.727714084529378,0.0627968102836077,0.5722206742672846,0.3566296703196807,0.06188928035855737,0.5032258887087682,0.5382879828076075,0.06576665225173517,0.08122244239645988,-0.4357922187851962,0.07838569166438797,1.5064028496453914,0.8549109338627013
4095,46,0.050548977166200444,-0.26568301479352463,-0.5989384147553208,0.13907365908212574,9.595086127943027,13.333889930743771,0.12256039440445604,6.245420623751812,7.498914955931868,0.04332413636584918,-0.8665906349215066,-1.6254235085175905,0.060562416085253395,0.7822271466512127,0.8541473630084662,0.05084074653205202,0.3250680147934127,0.10772976141432083,0.06603509511811219,0.37908879927006356,-0.09359470038741563,0.08743896507692925,1.7587327260543704,1.1917543166236948
4096,47,0.05366986620152596,-0.35639964350641373,-0.9075713982016291,0.10715916499513939,5.3774289029527695,7.358036610364155,0.17237925590905614,10.241985567073293,12.597272375449599,0.04494581514517224,-0.29876784655870037,-1.0067376378979287,0.08908548394402141,1.1088745825666244,1.4191822623849177,0.07273711992965953,0.41168575442817,0.059705390855017804,0.059765239117262454,0.23887766024403845,-0.4877199362358591,0.07048076554885671,1.9428637191313605,1.3475628570932783
4097,48,0.06816515836780931,-0.23628127427458842,-0.4613234653243482,0.06799889166304188,3.1815805209191885,4.253226692915203,0.20872530670783562,15.2057606616196,18.971768704286607,0.07408110245448966,0.3687914926212434,0.23340619375918004,0.04565406766219417,0.593506834142525,0.40465150303851927,0.06520521762396925,0.4893594511185971,0.501522035190505,0.06500314237296023,0.17587200799054842,-0.2901041123255091,0.07696017990181703,1.940473077995192,1.3254172402521018
4098,49,0.052446106560286705,-0.3676664876280988,-0.6993019382560686,0.09668989562691335,2.6244026417935524,3.397203973143387,0.2587581301992756,22.035740165831726,27.696504946524303,0.07140613796887843,0.6357411284449122,0.5473330384652828,0.07894252979224488,0.4573671617346454,0.08212593140449509,0.06565720051449017,0.6048574783985097,0.6178226615976206,0.04573246455414859,0.19835334919990483,-0.32369703226802665,0.08711389317873344,1.8403454198938407,1.1405047536698047
4099,50,0.057295420589472935,-0.4121706138368762,-0.683734086917618,0.08464238816569765,2.228715104486362,2.9039247339225693,0.3279511339502887,29.094579740343285,36.851879408683224,0.05781170751974155,0.5245268207212546,0.46989026932987077,0.05049587849398304,0.07725841115370566,-0.5595328599526528,0.05439220657657637,0.46382248626321143,0.4419324826336962,0.0702576190869649,0.5428535947557719,0.2513144069867401,0.06546082170009215,1.3715469240461018,0.6799034695694265
4100,51,0.047142600748505153,-0.42416459030172005,-0.7081552199442699,0.06812886015241088,1.6152184712100148,2.0851624267997635,0.4124292581140353,34.498649009604776,43.85625449605944,0.05815073587493899,0.5790919999839974,0.5908576692415655,0.060474103204151065,0.2632167875044297,-0.21830247172538061,0.07603108966120395,0.38849138782877246,0.3096207833011414,0.07144351838115458,0.705262226972375,0.5381353792017992,0.06978760579979612,0.8167726094578093,0.04464294000364938
4101,52,0.05839441407989909,0.029039040561708557,-0.16110202546932462,0.06202603758551839,0.8381374448297204,1.0640890359791613,0.38682797265269453,34.2185638716166,43.56625337540432,0.07397751190903681,1.0689932210093147,1.3594387682005071,0.07085356152409882,0.4362652092773732,0.06226274467331827,0.059564070181129275,-0.07143249643277227,-0.4898897797616663,0.0629189251267673,0.7938504524723117,0.7378270098393034,0.060040546029597755,0.5200011201643213,-0.3317437028059871
4102,53,0.06442644925169147,0.2336003714986251,0.15469851986155964,0.05498174495438288,0.1246801864002621,-0.06500463037009327,0.352013717613622,28.431487405260597,36.09639049073938,0.08389594499696278,1.7565016336744588,2.3233273692725827,0.056872464578802254,0.6285076714962349,0.5838430539736928,0.05038839555150418,-0.4598293240582956,-1.078446072021661,0.06984203996728139,0.7308879170749067,0.6308356306728484,0.05083008515616305,0.714869379372616,-0.06570945868506015
