campaign_arm,key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi
random_uniform,1,S0,0,0.2,8,8,154,0.0053023275425872814,13.064935064935062
random_uniform,1,S0,0,0.2,9,9,154,0.011036852757631978,27.194805194805195
random_uniform,1,S0,0,0.2,10,a,154,0.010024877719682915,24.701298701298704
random_uniform,1,S0,0,0.2,11,b,154,0.005555321302074548,13.688311688311686
random_uniform,1,S0,0,0.2,12,c,154,0.006314302580536347,15.55844155844156
random_uniform,1,S0,0,0.2,13,d,154,0.014072777871479172,34.67532467532468
random_uniform,1,S0,0,0.2,14,e,154,0.008000927643784786,19.71428571428571
random_uniform,1,S0,0,0.2,15,f,154,0.004037358745150953,9.948051948051948
random_uniform,1,S0,0,0.3,0,0,231,0.0033345983021307703,12.324675324675328
random_uniform,1,S0,0,0.3,1,1,231,0.0053585483780288976,19.805194805194805
random_uniform,1,S0,0,0.3,2,2,231,0.006857770656471956,25.346320346320347
random_uniform,1,S0,0,0.3,3,3,231,0.004121689998313375,15.233766233766234
random_uniform,1,S0,0,0.3,4,4,231,0.0059582372894061205,22.02164502164502
random_uniform,1,S0,0,0.3,5,5,231,0.002997273289481082,11.077922077922079
random_uniform,1,S0,0,0.3,6,6,231,0.0032971177451696938,12.186147186147188
random_uniform,1,S0,0,0.3,7,7,231,0.0024350649350649354,9.000000000000002
random_uniform,1,S0,0,0.3,8,8,231,0.003447039973013999,12.74025974025974
random_uniform,1,S0,0,0.3,9,9,231,0.008094629036187477,29.917748917748916
random_uniform,1,S0,0,0.3,10,a,231,0.005133665036262438,18.97402597402597
random_uniform,1,S0,0,0.3,11,b,231,0.004908781694495979,18.14285714285714
random_uniform,1,S0,0,0.3,12,c,231,0.0024350649350649354,9.000000000000002
random_uniform,1,S0,0,0.3,13,d,231,0.008844240175409007,32.688311688311686
random_uniform,1,S0,0,0.3,14,e,231,0.004833820580573828,17.865800865800868
random_uniform,1,S0,0,0.3,15,f,231,0.003784364985663687,13.987012987012987
random_uniform,1,S0,0,0.4,0,0,308,0.0020555742958340353,10.129870129870126
random_uniform,1,S0,0,0.4,1,1,308,0.0031307977736549164,15.428571428571429
random_uniform,1,S0,0,0.4,2,2,308,0.00348920559959521,17.194805194805195
random_uniform,1,S0,0,0.4,3,3,308,0.0038476134255355033,18.96103896103896
random_uniform,1,S0,0,0.4,4,4,308,0.004037358745150953,19.896103896103895
random_uniform,1,S0,0,0.4,5,5,308,0.0025615618148085674,12.62337662337662
random_uniform,1,S0,0,0.4,6,6,308,0.001950160229381008,9.610389610389607
random_uniform,1,S0,0,0.4,7,7,308,0.0023507336819025126,11.584415584415583
random_uniform,1,S0,0,0.4,8,8,308,0.004712008770450329,23.22077922077922
random_uniform,1,S0,0,0.4,9,9,308,0.00555532130207455,27.37662337662338
random_uniform,1,S0,0,0.4,10,a,308,0.004775257210322146,23.532467532467535
random_uniform,1,S0,0,0.4,11,b,308,0.0037632821723730817,18.545454545454547
random_uniform,1,S0,0,0.4,12,c,308,0.002245319615449485,11.064935064935064
random_uniform,1,S0,0,0.4,13,d,308,0.004353600944510035,21.454545454545453
random_uniform,1,S0,0,0.4,14,e,308,0.0032362118401079443,15.94805194805195
random_uniform,1,S0,0,0.4,15,f,308,0.0043114353179288245,21.246753246753247
random_uniform,1,S0,0,0.5,0,0,384,0.0018988715277777775,11.666666666666664
random_uniform,1,S0,0,0.5,1,1,384,0.0030110677083333335,18.5
